Player,Team,Position,Age,Games,Receptions_per_Game,Receiving_Yards_per_Game,Rushing_Yards_per_Game,Rushing_Attempts_per_Game
DeVante Parker,MIA,WR,26,16,4.5,75.1,NA,NA
Devin Funchess,IND,/wr,25,1,3,32,NA,NA
Devin Singletary,BUF,RB,22,12,2.4,16.2,64.6,12.6
Devin Smith,DAL,NA,27,4,1.3,28.3,NA,NA
Devine Ozigbo,JAX,NA,23,10,0.3,2.3,2.7,0.9
Devlin Hodges,PIT,qb,23,8,0,0,8.5,2.6
Devonta Freeman,ATL,RB,27,14,4.2,29.3,46.9,13.1
Devontae Booker,DEN,NA,27,16,0.4,3.6,0.6,0.1
Dexter Williams,GNB,NA,22,4,0,0,2.8,1.3
Dion Dawkins,BUF,LT,25,16,0.1,0.1,NA,NA
Dion Lewis,TEN,/rb,29,16,1.6,10.3,13.1,3.4
Diontae Johnson,PIT,WR,23,16,3.7,42.5,2.6,0.3
Diontae Spencer,DEN,NA,27,16,0.4,1.9,0.4,0.2
DJ Chark,JAX,WR,23,15,4.9,67.2,1.3,0.1
Donte Moncrief,2TM,NA,26,8,0.5,2.3,NA,NA
Dontrell Hilliard,CLE,NA,24,14,0.9,6.6,3.5,0.9
Dontrelle Inman,2TM,NA,30,7,1.7,25.9,NA,NA
Drew Lock,DEN,qb,23,5,0,0,14.4,3.6
Drew Sample,CIN,NA,23,9,0.6,3.3,NA,NA
Duke Johnson,HOU,NA,26,16,2.8,25.6,25.6,5.2
Duke Williams,BUF,NA,27,4,3,41.5,NA,NA
Durham Smythe,MIA,TE,24,16,0.4,4.1,NA,NA
Dwayne Harris,OAK,NA,32,3,0.3,2.3,NA,NA
Dwayne Haskins,WAS,qb,22,9,0,0,11.2,2.2
Dwayne Washington,NOR,NA,25,16,0.1,0.4,3.8,0.5
Elandon Roberts,NWE,/il,25,16,0.1,2.4,NA,NA
Eli Manning,NYG,/qb,38,4,0,0,1.8,1
Elijhaa Penny,NYG,NA,26,16,0.1,0.6,2.4,0.9
Emmanuel Sanders,2TM,NA,32,17,3.9,51.1,NA,NA
Eric Ebron,IND,/te,26,11,2.8,34.1,NA,NA
