player,age,g,gs,mp,fg,x3p,x2p,ft,trb,ast,stl,blk,tov,pf,pts
Wes Iwundu,25,52,21,18.3,1.9,0.5,1.3000000000000003,1.5,2.5,1.2,0.5,0.3,0.5,1.5,5.799999999999999
Wesley Matthews,33,67,67,24.4,2.5,1.6,0.9,0.8,2.5,1.4,0.6,0.1,0.6,1.5,7.4
Will Barton,29,58,58,33,5.7,1.9,3.9,1.8,6.3,3.7,1.1,0.5,1.5,2.1,15.1
William Howard,26,2,0,6.5,0,0,0,0,1,0.5,0,0,0.5,0.5,0
Willie Cauley-Stein,26,108,78,20.3,3.2175925925925926,0,3.2175925925925926,0.7398148148148147,5.807407407407408,1.3157407407407407,0.9037037037037038,1.1018518518518519,0.7398148148148147,2.22962962962963,7.2250000000000005
Willy Hernangómez,25,31,0,12.1,2.4,0.2,2.2,1.2,4.3,0.9,0.3,0.2,1,1,6.1
Wilson Chandler,32,35,3,21,2.1,1.1,1.1,0.6,4.1,1.1,0.5,0.3,1,2.3,5.9
Yogi Ferrell,26,50,0,10.6,1.6,0.5,1.1,0.7,1,1.4,0.4,0.1,0.6,0.8,4.4
Yuta Watanabe,25,18,0,5.8,0.8,0.2,0.7,0.2,1.1,0.3,0.3,0.1,0.1,0.5,2
Zach Collins,22,11,11,26.4,2.9,0.6,2.3,0.5,6.3,1.5,0.5,0.5,1.3,3.3,7
Zach LaVine,24,60,60,34.8,9,3.1,5.9,4.5,4.8,4.2,1.5,0.5,3.4,2.2,25.5
Zach Norvell,22,10,0,8.2,0.6,0.6,0,0.19,1.21,0.6,0.41,0,0.6,0.79,1.9899999999999998
Zhaire Smith,20,7,0,4.6,0.4,0,0.4,0.3,0.3,0.3,0.4,0,0.3,0.6,1.1
Zion Williamson,19,24,24,27.8,8.8,0.3,8.5,4.8,6.3,2.1,0.6999999999999998,0.4000000000000001,2.5,1.8,22.5
Zylan Cheatham,24,4,0,12.8,1.5,0,1.5,0,2.3,0.8,0.3,0.3,1,2.5,3
